"punto";"CONGRESOS"
"parametro";"O3"
"media";"31,08"
"maximo";"79,50"
"minimo";"2,13"
"ica";"17,27"
"Tipo de datos";"Datos de un mes"
"hora";"media";"Maximo";"fecha Max.";"minimo";"fecha Min."
0;25,72;50,63;"20/01/2024";2,13;"20/01/2024"
1;22,40;48,63;"20/01/2024";3,13;"20/01/2024"
2;21,53;48,38;"20/01/2024"; 7;"20/01/2024"
3;23,83;50,38;"20/01/2024";7,88;"20/01/2024"
4;26,70;54,50;"20/01/2024";9,13;"20/01/2024"
5;29,77;57,63;"17/01/2024";10,50;"17/01/2024"
6;31,93;64,75;"17/01/2024"; 10;"17/01/2024"
7;32,80;68,88;"17/01/2024";8,63;"17/01/2024"
8; 32;75,50;"17/01/2024";7,75;"17/01/2024"
9;30,03;79,50;"17/01/2024";6,13;"17/01/2024"
10;27,60;77,88;"17/01/2024";4,13;"17/01/2024"
11;25,87;74,13;"17/01/2024";3,88;"17/01/2024"
12;23,97;72,38;"17/01/2024";5,38;"17/01/2024"
13;24,07;71,13;"17/01/2024";8,50;"17/01/2024"
14;25,83;69,75;"17/01/2024";7,50;"17/01/2024"
15;29,38;69,63;"17/01/2024"; 5;"17/01/2024"
16;34,83;70,88;"17/01/2024";5,38;"17/01/2024"
17;40,55;72,88;"19/01/2024";7,50;"19/01/2024"
18;44,77; 72;"19/01/2024";6,88;"19/01/2024"
19;44,33;70,38;"17/01/2024";6,25;"17/01/2024"
20;42,37;67,50;"17/01/2024";5,25;"17/01/2024"
21;39,20;61,38;"17/01/2024";4,38;"17/01/2024"
22;35,20;55,50;"17/01/2024";3,50;"17/01/2024"
23;30,83;50,88;"17/01/2024";2,88;"17/01/2024"
