"punto";"NORTE"
"parametro";"SO2"
"media";"6,40"
"maximo";" 13"
"minimo";" 3"
"ica";"5,12"
"Tipo de datos";"Datos de un mes"
"hora";"media";"Maximo";"fecha Max.";"minimo";"fecha Min."
0;6,74; 10;"29/01/2024"; 4;"29/01/2024"
1;6,54; 10;"26/01/2024"; 4;"26/01/2024"
2;6,17; 8;"02/01/2024"; 4;"02/01/2024"
3;6,17; 9;"29/01/2024"; 4;"29/01/2024"
4;5,46; 8;"29/01/2024"; 3;"29/01/2024"
5;5,25; 7;"01/01/2024"; 4;"01/01/2024"
6;5,21; 7;"01/01/2024"; 4;"01/01/2024"
7;5,38; 7;"29/01/2024"; 4;"29/01/2024"
8;5,92; 9;"29/01/2024"; 4;"29/01/2024"
9;7,42; 12;"26/01/2024"; 4;"26/01/2024"
10;7,79; 13;"25/01/2024"; 4;"25/01/2024"
11;7,16; 11;"15/01/2024"; 3;"15/01/2024"
12;6,50; 11;"15/01/2024"; 3;"15/01/2024"
13; 6; 11;"15/01/2024"; 4;"15/01/2024"
14;5,48; 10;"15/01/2024"; 3;"15/01/2024"
15;5,38; 11;"15/01/2024"; 3;"15/01/2024"
16;5,29; 10;"15/01/2024"; 3;"15/01/2024"
17;5,58; 10;"15/01/2024"; 3;"15/01/2024"
18;6,08; 10;"28/01/2024"; 4;"28/01/2024"
19;7,13; 12;"25/01/2024"; 4;"25/01/2024"
20;7,75; 12;"25/01/2024"; 4;"25/01/2024"
21;7,75; 11;"25/01/2024"; 4;"25/01/2024"
22;7,75; 11;"25/01/2024"; 5;"25/01/2024"
23;7,58; 10;"25/01/2024"; 4;"25/01/2024"
